Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	2	0	1.0	0.00816326530612245	0.0	0.00816326530612245
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.00398406374501992	0.0	0.00398406374501992
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0037174721189591076	0.0	0.0037174721189591076
2009	0	0	0.5	0.0	0.0	0.0
2010	2	0	1.0	0.006514657980456026	0.0	0.006514657980456026
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
